Scenario       ;Algorithm                          ;Array Size;Execution Time (ms) ;Repetitions
Best-Case      ;QuickSort - Recursive (Median Pivot);100       ;0.05                ;10        
Best-Case      ;QuickSort - Recursive (Median Pivot);1000      ;0.05                ;10        
Best-Case      ;QuickSort - Recursive (Median Pivot);10000     ;0.40                ;10        
Best-Case      ;QuickSort - Recursive (Median Pivot);100000    ;1.38                ;10        
Best-Case      ;QuickSort - Recursive (Median Pivot);1000000   ;15.56               ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);100       ;0.07                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);1000      ;0.10                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);10000     ;0.89                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);100000    ;3.74                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);1000000   ;37.85               ;10        
Best-Case      ;QuickSort - Recursive (First Pivot);100       ;0.03                ;10        
Best-Case      ;QuickSort - Recursive (First Pivot);1000      ;0.13                ;10        
Best-Case      ;QuickSort - Recursive (First Pivot);10000     ;1.64                ;10        
Best-Case      ;QuickSort - Recursive (First Pivot);100000    ;24.78               ;10        
Best-Case      ;QuickSort - Recursive (First Pivot);1000000   ;2272.23             ;10        
Best-Case      ;QuickSort - Iterative (Median Pivot);100       ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Median Pivot);1000      ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Median Pivot);10000     ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Median Pivot);100000    ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Median Pivot);1000000   ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);100       ;0.00                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);1000      ;0.04                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);10000     ;0.37                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);100000    ;3.63                ;10        
Best-Case      ;QuickSort - Iterative (Random Pivot);1000000   ;36.50               ;10        
Best-Case      ;QuickSort - Iterative (First Pivot);100       ;0.01                ;10        
Best-Case      ;QuickSort - Iterative (First Pivot);1000      ;0.07                ;10        
Best-Case      ;QuickSort - Iterative (First Pivot);10000     ;0.64                ;10        
Best-Case      ;QuickSort - Iterative (First Pivot);100000    ;24.59               ;10        
Best-Case      ;QuickSort - Iterative (First Pivot);1000000   ;2275.11             ;10        
Best-Case      ;InsertionSort - Recursive          ;100       ;0.04                ;10        
Best-Case      ;InsertionSort - Recursive          ;1000      ;0.01                ;10        
Best-Case      ;InsertionSort - Recursive          ;10000     ;0.04                ;10        
Best-Case      ;InsertionSort - Recursive          ;100000    ;0.44                ;10        
Best-Case      ;InsertionSort - Recursive          ;1000000   ;4.38                ;10        
Best-Case      ;InsertionSort - Iterative          ;100       ;0.00                ;10        
Best-Case      ;InsertionSort - Iterative          ;1000      ;0.02                ;10        
Best-Case      ;InsertionSort - Iterative          ;10000     ;0.14                ;10        
Best-Case      ;InsertionSort - Iterative          ;100000    ;0.06                ;10        
